,Lalanine,Lvaline,Lleucine,Lisoleucine,Lproline,Lserine,Lthreonine,Lglutamicacid,Lphenylalanine,Lasparagine,Lglutamine,LLysine,Ltyrosine,Ltryptophan,Lglycine,Lmethionine,Betaalanine,Lpipecolicacid,Lhistidine,L4hydroxyproline,taurine,glycylglycine,Larginine,Lhomoserine,Lasparticacid,ethanolamine,Lmethioninesulfoxide,gammaaminobutyricacid,L2aminoadipicacid,Lalphaaminobutyricacid,Ornithine,hydroxyLtryptophan,putrescine,methyldopa,Spermidine,Spermine,pyruvicacid,succinicacid,glycericacidmz292,fumaricacid,malicacid,cysteine,alphaketoglutaricacid,phosphoethanolaminemz188,glycericacid3phosphate,citricacidmz273,glucose,mannitol,myoinositolmz318,glucose6phosphate,adenosine,lacticacid,thymine,cytosine,ribose5phosphate,fructose,guanine,cholesterol
con_12h_2,-2.79969759290152,-1.72017252137433,0.175272929588973,-0.0043000111776682,0.351499887556317,0.156657991980439,0.835137995296546,-1.42380284619187,-0.0575288532997014,-0.29825751442135,-1.46154651574454,0.104020756667344,1.60459210974944,1.70493993066909,1.08365169103542,4.17415240416336,-4.02145222443768,-4.60606971806134,-0.477175088841539,-3.15431369733097,-0.384532368166357,-0.310270987163951,-2.0342549115969,-1.47564683739179,-0.119507722906538,-1.51368002595803,-3.91908216256985,-1.31384608697383,-0.0640741584727126,-0.189227160006578,-3.20925628814585,-3.56047131280163,-0.377159714964281,0.240944543518666,4.84680308392057,1.68804522611345,3.13797563269998,0.537364826454477,-0.96909828070643,0.343736485427894,-0.574593555095136,1.81942583059715,-1.24673890446137,0.872709117613035,-3.40173774472128,-3.6747011728554,4.07891421481884,-2.88364082253917,-0.0160538982194803,-1.50393282407895,0.0252584576813343,5.37819843413623,-2.74207174202077,-1.0000643292031,-0.809690388687745,4.13985070876829,-0.535253542985985,3.98965129149765
con_12h_3,-2.85272304546553,-2.09355003253256,-0.186511530077926,-0.342909026802589,0.212956713429146,-0.0772327751223402,0.50190417559364,-1.52704992459443,-0.426134812374714,-0.539586352984714,-1.90732423677737,-0.323491098495263,1.2180702162909,1.33058007672514,1.07705729663054,3.84706832628157,-3.63444619311836,-5.02696564367715,-0.884404565501799,-3.21827484920621,0.0806888765820521,-0.546481655582401,-2.47905359319883,-1.33963765769538,-0.0746054612277263,-1.6549578136561,-4.03645887392601,-0.62247589752827,-0.0522948324487495,-0.475875369147556,-3.32262515827255,-3.81598995231531,0.157538605484161,0.957962596195336,5.00977378224794,2.74420048947441,2.78917657799085,0.546394043008896,-0.92862004358296,0.497693042269031,-0.280644313327928,1.66390744364333,0.130851909322791,0.648736768346263,-3.66167604117338,-3.09288311078105,3.79176609141816,-3.28295777909373,-0.39208086633029,-1.1673729035928,1.11211962053335,5.11383141898125,-1.9402394533683,-0.285037403090038,-0.897612971325624,3.91663709116996,0.0926890396060647,3.79541605785693
con_18h_1,-3.19185476530085,-2.44710290178775,-0.521280115271901,-0.658842050640469,-0.122169003194655,-0.39805823426661,0.161543127729001,-1.87411926150035,-0.746477211595662,-0.878484391135159,-2.25753607918648,-0.667469259643704,0.871008866411752,0.997894029452526,0.718809879199232,3.54115344469565,-3.7596172893272,-5.32209790716003,-1.24428586126751,-3.62731585185054,-0.297023396729235,-0.883167003273033,-2.78774688904527,-1.74480828437038,-0.452296935680952,-1.96250255739024,-4.36939595073411,-1.36777513335882,-0.482010062399089,-0.808346988642074,-3.599547574764,-4.22253795016929,-0.320631046698772,0.471641049574801,4.35779691547588,2.25603651399455,2.49949500170937,-0.0475280638251502,-1.44299095097139,0.2292043646442,-0.773652164702263,1.56339072292426,-0.301112130400145,0.0960071334864427,-3.98318443918019,-3.65608788439013,3.44426076151261,-3.61256618912211,-0.737732289009466,-1.98698891721931,0.634001362862773,4.80983951474451,-3.01505698540318,-0.311304573209203,-1.05169054607395,3.60178210691125,0.453216395048347,3.03974675017449
con_18h_2,-3.332006754036,-2.4181615812089,-0.491809229280391,-0.642018657761488,-0.228546454742027,-0.405574102695233,0.191997281642872,-1.77772435640072,-0.722888036870527,-0.859470825355382,-2.08292963221111,-0.556216119937813,0.961937289614712,1.07836181773329,0.708886277525616,3.65625810817494,-4.39510852390749,-5.59378663990151,-1.11925275912777,-3.58529651938797,-0.320667671088011,-0.864818942147308,-2.7597466015781,-2.16991235605649,-0.348791624256018,-2.25297765588154,-4.73695815715633,-1.29962299470501,-0.318747108478984,-0.916817651351691,-3.61623485960112,-4.32686981566164,-0.287405963573584,0.3682487426844,4.33763352843644,1.60685561042641,2.4129009495505,-0.181876766632279,-1.47753138394533,-0.0071005272428031,-0.687030663602713,1.18814663229549,-0.727843957543429,0.688337148842527,-3.70280089491981,-3.54347560143119,3.39764474448616,-3.58337461841464,-0.684292652522685,-1.62573614471341,0.0009030073960566,4.39400771614368,-2.69322168032462,-0.490621806934937,-0.736431060223609,3.25756448568827,-0.622246194545284,3.60912706633282
con_18h_3,-3.26393579597548,-2.71758064512851,-0.767851427587571,-0.933213971853849,-0.357324703994396,-0.508502802635522,0.0029422118536043,-1.75964894771859,-0.952933036237292,-0.957329297161468,-2.46155697512118,-0.940496567562101,0.665222146714175,0.839155010132254,0.689863537863297,3.29067357578124,-3.57311468823826,-5.4263956204222,-1.35922630900698,-3.83263441387912,-0.167708621789257,-0.958149847503535,-2.98645331479866,-1.22279538543823,-0.39413584595863,-1.88880506041416,-4.692350668183,-0.962706166154609,-0.558459882696602,-0.996633709065016,-3.95590457105945,-3.5997372756914,-0.236823521621319,0.77556498564287,4.57663170728727,2.47476767637198,2.2817918123897,-0.013585464686979,-1.17944089445428,0.236259212026845,-0.489442593151841,1.56443787817706,0.0340670490567803,0.410710049547927,-4.07573535481549,-3.30886984033941,3.29296543612563,-3.88539498271911,-0.903433675445881,-1.5243488412813,0.92911372318498,4.42156623785404,-2.45896170040734,0.282204262063347,0.0791266598191424,3.11505434574725,0.284557363426356,3.70014799795232
con_24h_1,-3.27731049872641,-2.59113739152201,-0.646926372415025,-0.829034618460607,-0.242407566971077,-0.536207344202465,0.0380869255585479,-1.86146831385339,-0.884999548644049,-0.977748214767537,-2.39539274470824,-0.862887231509606,0.732124645678949,0.882496638999312,0.612635295866524,3.51703799588756,-3.78846278745938,-5.51466544608167,-1.33208357839716,-3.77702749017441,-0.374895597911635,-0.977471176965919,-3.03788463554635,-1.68046022672597,-0.54893864241262,-2.04726302730616,-4.63231282743811,-1.35861318846163,-0.359186610296216,-0.880362288782218,-3.80945989000171,-4.20779632862627,-0.355308631531786,0.597317382574398,4.40903877142175,2.12091672101367,2.38687983406519,0.088825293088748,-1.39495092468465,0.181482758233364,-0.728494137332929,1.51593291608558,-0.590533382614056,0.0859112104046175,-3.7646203672004,-3.87285103337831,3.28804737975891,-3.82353819671774,-0.880841871081427,-2.3376437282634,0.592246972344421,4.81593846702637,-3.15800444154275,-0.668288896226612,-0.829551986382861,3.26344706065027,0.516905355709144,3.12707026818159
con_24h_2,-3.35419048650978,-2.36914094034511,-0.470819028552229,-0.609456966931408,-0.240823829006501,-0.460790025059541,0.192054513380407,-1.95915857954309,-0.693358441867583,-0.92147128153746,-2.10867903543936,-0.568556674890263,0.973988594859306,1.04125721127363,0.567443501713282,3.78679908327034,-4.25256089686205,-5.18715209534133,-1.15711301502384,-3.67443702684257,-0.686511364893952,-0.935638876051664,-2.77234815495843,-2.07794659877257,-0.573737028197932,-2.10095997560891,-4.43616627169332,-1.55872491856585,-0.585162441884983,-0.927096032078849,-3.70897218881727,-3.90484762624691,-0.663030744915921,0.18289218669941,4.20737345562924,0.939612041680959,2.50723796523112,-0.21416070813317,-1.43743609546376,-0.163519368854557,-0.916104117509042,1.45912819700066,-0.952978412409972,-0.193867405403427,-3.94121959335288,-3.93803047000227,3.49937904982707,-3.516310714427,-0.666129244432964,-2.52708462008395,-0.592303173346682,4.51507733883245,-4.04902740623832,-1.88354099002549,-1.47140807925046,3.3196697616435,-0.864170313925953,2.70156727765251
con_24h_3,-3.28423720273825,-2.54845704371446,-0.626706067720112,-0.785262348483057,-0.2751028682989,-0.343047025022212,0.0766879408139838,-1.86168973215613,-0.819269465799021,-0.949770299467555,-2.36867352905483,-0.754406637390273,0.81873307176882,0.90298872499284,0.65945779820078,3.45908417701144,-3.93270290039009,-5.4700605786595,-1.17966061438709,-3.79227722396295,-0.444566529100708,-0.961738838093826,-2.93448821221739,-1.85852069604657,-0.400351678079472,-1.97771387637998,-4.33113996952001,-1.25094959258228,-0.414126796873581,-0.952728545954043,-2.17017305392354,-3.77673907334116,-0.382711353757863,0.548515546154605,4.40948231601317,2.16159367607232,2.27083469106682,-0.35641376629621,-1.3653230480632,0.0133506938140971,-0.772266407310479,1.4363516506045,-0.300256121442469,-0.151463912331572,-4.17405816652725,-3.61891325011198,3.34921218718418,-3.66253312541946,-0.829454756923826,-1.82865834687171,0.161353467529385,4.48630075712554,-2.74575536848377,-1.00437239779822,-0.932447450583044,3.30574511031572,-0.325897703007527,3.20064944619065
ika_0h_1,-2.97044655682908,-2.21506802256932,-0.277207621224406,-0.486051391248207,0.0661216573711896,-0.204374046251922,0.407567099139305,-1.75083297772951,-0.507466929537999,-0.642453828635915,-1.9851599676016,-0.436235938258968,1.13377463055622,1.23233526462323,0.961551410525872,3.77170319952086,-3.65684467143701,-4.88874533397595,-0.972663942318634,-3.50676366471006,-0.0424427705423605,-0.641327851007095,-2.55718154545451,-1.37678798147158,-0.0235187586109352,-1.88505369921612,-4.14084235514581,-1.36080123490177,-0.379455243411603,-0.607142152595579,-3.55473658353147,-3.52016379285659,-0.135818567637881,1.44850951445472,4.31033890766493,2.39100153745538,2.70637409221961,-0.114904715740676,-1.10328975739162,0.234024151459381,-1.00570135627289,1.74280436453014,-0.297806724868373,0.0926517539749362,-3.73561402473802,-3.15397766904996,3.68628271872365,-3.39785389351128,-0.486067035864928,-1.77015718395,0.763927665028247,4.80883585472332,-2.63057421720167,-1.17543280664237,-0.250754907691509,3.71277056139418,0.522412393497147,3.21983749905786
ika_0h_2,-3.15321176235769,-2.175575287263,-0.308699075731754,-0.455799040337088,-0.0079699489631065,-0.230705183222446,0.402246620458503,-1.77695362831914,-0.509024887437704,-0.700851336186436,-1.89662277182852,-0.358924958403823,1.1661325967561,1.24809323537992,0.87536170444848,3.82436127905344,-4.20066059073656,-5.02598185279548,-0.987601630743485,-3.41334484182997,-0.233825454209293,-0.69994806909008,-2.52765557306601,-2.03361117742521,-0.0915699186851797,-2.05065612973626,-4.61893002902496,-1.39866225789977,-0.27210530678287,-0.543665973750837,-3.58926992136209,-3.74893959097206,-0.352653582463824,0.942806910179287,4.34689630255551,1.55130370316967,2.79436246257831,-0.152103965817777,-1.34886383416714,-0.181625411899546,-1.14755939136641,1.52425180595448,-0.424773189256646,0.770216866542946,-3.8494951814565,-3.44535456863563,3.77749952884852,-3.32281781410564,-0.466488289170088,-2.15646314677826,-0.39806583197036,4.52162860552551,-4.4177047894069,-1.17319827123802,-3.06196385044544,3.48687096596179,-0.360193623708985,3.6837782341046
ika_0h_3,-2.93866190807774,-2.37163506534623,-0.431707071453456,-0.622298004884402,0.0763884068417466,-0.234027663006206,0.386810856754666,-1.39377740253967,-0.658792122477708,-0.679682108732334,-2.07318380711819,-0.661554978647961,0.959911464981388,1.10912593897701,1.19262757978858,3.60842069498583,-3.57470118756666,-5.32327764942694,-1.11265018992917,-3.35840576906333,0.522441006671956,-0.677974342636094,-2.7893185738946,-0.997523367801813,0.237124767542068,-1.88733185157862,-4.33962437836247,-0.40523622332055,-0.0798178854864319,-0.581871117145613,-3.50799000081746,-4.02493778553238,0.265957346856438,2.0932071222855,4.79133699150376,2.7957458710136,2.47988966032274,0.0654200503725958,-1.08943365903508,0.270655412412849,-0.309059451003563,1.44226854907791,0.0531733585387844,1.07831113468126,-3.54684805003166,-2.93513310118687,3.45351963400776,-3.63411066238524,-0.62084180813969,-1.2650480077653,0.495003329149733,4.43869412767167,-2.39317013684817,-1.11931312006352,-0.361185819771945,3.12134741036849,-0.49058025805372,3.32243146903257
ika_2h_1,-3.23868040539007,-2.22004437858612,-0.359091814405203,-0.500219516366642,-0.129803383084666,-0.363913640191014,0.24314228235054,-1.99198103849783,-0.577578662269274,-0.833069656355927,-2.11358139204425,-0.475127217673613,1.01544876634857,1.10659544772308,0.544957393274321,3.68889115664426,-4.00972838640938,-4.91113152865855,-1.11057007615261,-3.59785435212264,-0.796452374676073,-0.831891188083179,-2.62257268128121,-2.14213462736107,-0.403552301059083,-1.95840018974545,-4.27229730360136,-1.73385950302248,-0.469660713483773,-0.693671376255544,-3.54018285902838,-4.03675183537845,-0.537118703875835,1.04853345030696,4.10422778661648,1.85006892290924,2.63044151077208,-0.451364306840384,-1.28731954522584,-0.355277481228793,-1.46339148960484,1.54312394806337,-0.777004406567802,-0.767463278391282,-3.79502278141064,-3.84497431536243,3.69306374041335,-3.38887474258488,-0.58197698145138,-1.83164974984966,0.968953329891364,4.77994742638298,-2.89192471686689,-1.28757055027547,-1.4794440915994,3.73009423020504,0.0141040889472292,2.63698037321402
ika_2h_2,-3.22469857473721,-2.49014763144995,-0.573906808263107,-0.721322543239955,-0.295611560872215,-0.41449005890909,0.149918986458688,-1.76992217710179,-0.826121454860464,-0.890905437284351,-2.17305415734433,-0.679428284168429,0.89130817410284,1.02156183171407,0.611716557430325,3.46569310262123,-3.72590223002688,-5.30257693891099,-1.20349523848961,-3.68021930396917,-0.280659541757844,-0.901722481117696,-2.84620368217946,-1.50880979658261,-0.346880411655801,-1.82055301836336,-4.60799643196782,-1.26458369231876,-0.432751006637662,-0.909863011050674,-3.65909269223916,-3.60561589397868,-0.0911734496611118,1.29432911066808,4.36912443208811,2.19886597700976,2.42091908278225,0.0623155653416314,-1.1371917902542,0.011499009241392,-0.741342106734257,1.67280197996914,-0.262950767217641,0.0465656474193145,-3.91508679595338,-3.69107842028252,3.48251504609978,-3.65257306787121,-0.739812111406871,-2.11364558328101,-0.0152324165065055,4.51462923193756,-4.03651186009746,-1.51618986877511,-1.93040071732324,3.19004714641349,-0.326079897093861,3.4686991566997
