,Lserine,Lglutamicacid,Lglycine,taurine,Lhomoserine,gammaaminobutyricacid,Ornithine,hydroxyLtryptophan,putrescine,methyldopa,Spermidine,Spermine,succinicacid,fumaricacid,malicacid,alphaketoglutaricacid,phosphoethanolaminemz188,citricacidmz273,glucose6phosphate,adenosine,thymine,cytosine,ribose5phosphate,guanine,cholesterol
ika_0h_2,-0.230705183222446,-1.77695362831914,0.87536170444848,-0.233825454209293,-2.03361117742521,-1.39866225789977,-3.58926992136209,-3.74893959097206,-0.352653582463824,0.942806910179287,4.34689630255551,1.55130370316967,-0.152103965817777,-0.181625411899546,-1.14755939136641,-0.424773189256646,0.770216866542946,-3.44535456863563,-2.15646314677826,-0.39806583197036,-4.4177047894069,-1.17319827123802,-3.06196385044544,-0.360193623708985,3.6837782341046
ika_0h_3,-0.234027663006206,-1.39377740253967,1.19262757978858,0.522441006671956,-0.997523367801813,-0.40523622332055,-3.50799000081746,-4.02493778553238,0.265957346856438,2.0932071222855,4.79133699150376,2.7957458710136,0.0654200503725958,0.270655412412849,-0.309059451003563,0.0531733585387844,1.07831113468126,-2.93513310118687,-1.2650480077653,0.495003329149733,-2.39317013684817,-1.11931312006352,-0.361185819771945,-0.49058025805372,3.32243146903257
ika_2h_1,-0.363913640191014,-1.99198103849783,0.544957393274321,-0.796452374676073,-2.14213462736107,-1.73385950302248,-3.54018285902838,-4.03675183537845,-0.537118703875835,1.04853345030696,4.10422778661648,1.85006892290924,-0.451364306840384,-0.355277481228793,-1.46339148960484,-0.777004406567802,-0.767463278391282,-3.84497431536243,-1.83164974984966,0.968953329891364,-2.89192471686689,-1.28757055027547,-1.4794440915994,0.0141040889472292,2.63698037321402
ika_2h_2,-0.41449005890909,-1.76992217710179,0.611716557430325,-0.280659541757844,-1.50880979658261,-1.26458369231876,-3.65909269223916,-3.60561589397868,-0.0911734496611118,1.29432911066808,4.36912443208811,2.19886597700976,0.0623155653416314,0.011499009241392,-0.741342106734257,-0.262950767217641,0.0465656474193145,-3.69107842028252,-2.11364558328101,-0.0152324165065055,-4.03651186009746,-1.51618986877511,-1.93040071732324,-0.326079897093861,3.4686991566997
ika_2h_3,-0.511934472190981,-1.83851206587703,0.640990776766316,-0.272369445404675,-1.98782625992432,-1.0459625676958,-3.77119807696589,-4.45858528891357,-0.33792402478486,1.38127664922339,3.45101376891947,2.1654619835354,-0.0658812830076737,-0.0817575395002542,-0.729289366928946,-0.352504028909571,-0.0328387721660688,-3.89230009910439,-2.33845420965901,0.0302238805953529,-3.39079309130452,-1.95725010467976,-1.62619482449835,-0.311393567298548,2.87706213450867
ika_6h_1,-0.339019832477023,-1.80989628969562,0.84239656365108,-0.102611714194568,-1.57248911258535,-1.07156174770379,-3.61375936844308,-3.84112399225543,0.237115292277432,1.60461464337275,3.47610503340512,1.95267901179745,-0.389638941169969,0.319773819066479,-1.09734676114825,-0.386240088741937,-0.274450210823702,-3.38375994980822,-1.7001557749609,1.0393322835384,-2.91299616428453,-0.216275873599716,-1.6153772813706,0.450893797119493,3.05516635747638
ika_6h_2,-0.331086577479804,-1.65345337880979,0.910864276747765,0.0270796051712453,-1.8297448395476,-0.760316769642815,-3.4842722811489,-4.06273930928196,0.347067129225525,1.37034236946035,5.15489053914722,2.20055599729403,0.288519545349227,-0.0206888090709884,-0.614503172297127,-0.330391103175485,0.159620453119855,-3.56011704011826,-2.11476596212016,-0.023034983695267,-3.72219510810018,-1.11053480066994,-0.995779191870031,-0.564112840137298,3.71838586773348
ika_6h_3,-0.304147922279504,-1.50470479766383,1.00509503171533,0.189641341472629,-1.7577642537361,-0.576751973532562,-3.48875256390748,-4.35654504467629,0.455082034854656,1.78658481286735,4.5936915667888,2.24587186987605,-0.251079955633167,0.0760500049302844,-0.666710885751062,-0.0102624331766536,0.429268764094298,-3.08854256348464,-1.41724438949914,0.538657156646135,-2.47222630412861,-1.01613138385498,-0.999480939724146,-0.246478245501645,3.3580400269498
ika_12h_1,-0.478346443722872,-2.18964300560206,0.50443789769477,-0.76471447482388,-2.00739907782214,-1.88585148424636,-3.57686348838695,-3.7452857378771,-1.47867811950639,0.62057638947112,3.61920363140203,1.38484707833347,-0.596261035995796,-0.009841066233244,-1.72215137167216,-1.21987843132064,-0.600102554029876,-3.87895816706585,-1.81457753763065,0.922050674043573,-2.86936801436347,-0.634444483027958,-1.4364291544298,0.417017503413819,2.63519539847376
ika_12h_2,-0.392572643992403,-1.99216585837964,0.520458097765665,-0.714209171170866,-2.13113370150256,-1.49618347239786,-3.30128154466245,-3.72798593122875,-1.32637351826737,0.957162456684762,4.03373815298823,1.52414197654161,-0.236496173932689,-0.234731306798477,-1.26511551716131,-1.09598176371151,0.234586023178118,-3.80283894013119,-2.1848255899281,-0.145275975478891,-3.35406786087913,-0.536139410230519,-0.901833085045056,-0.423286435460919,2.94070469103972
