Metabolite	Control_0_h_batch_10	Control_0_h_batch_11	Control_0_h_batch_9	Control_2_h_batch_10	Control_2_h_batch_11	Control_2_h_batch_9	Control_6_h_batch_10	Control_6_h_batch_11	Control_6_h_batch_9	Control_12_h_batch_10	Control_12_h_batch_11	Control_12_h_batch_9	Control_18_h_batch_10	Control_18_h_batch_11	Control_18_h_batch_9	Control_24_h_batch_10	Control_24_h_batch_11	Control_24_h_batch_9	Ikaros_0_h_batch_10	Ikaros_0_h_batch_11	Ikaros_0_h_batch_9	Ikaros_2_h_batch_10	Ikaros_2_h_batch_11	Ikaros_2_h_batch_9	Ikaros_6_h_batch_10	Ikaros_6_h_batch_11	Ikaros_6_h_batch_9	Ikaros_12_h_batch_10	Ikaros_12_h_batch_11	Ikaros_12_h_batch_9	Ikaros_18_h_batch_10	Ikaros_18_h_batch_11	Ikaros_18_h_batch_9	Ikaros_24_h_batch_10	Ikaros_24_h_batch_11	Ikaros_24_h_batch_9
Lglutamine	-2.49091676101579	-2.32796173535226	-2.44147177429802	-2.47531422357875	-2.19706483035854	-2.52485454609897	-2.05863300448683	-1.9331144633739	-2.04586558561674	-2.21286253553731	-1.46154651574454	-1.90732423677737	-2.25753607918648	-2.08292963221111	-2.46155697512118	-2.39539274470824	-2.10867903543936	-2.36867352905483	-1.9851599676016	-1.89662277182852	-2.07318380711819	-2.11358139204425	-2.17305415734433	-2.35532425569671	-2.14884047747356	-2.00365593480127	-2.10151242653204	-2.20848263218396	-2.09929481978488	-2.09940744901501	-2.50456277863535	-2.19949620733995	-2.60980032687966	-2.79804123386769	-2.50564307133993	-2.61159310410082
LLysine	-0.930642380989442	-0.760195732058044	-0.867335516582962	-0.865310124764913	-0.632433968807358	-0.843138653138961	-0.499956429924346	-0.349662917705013	-0.460574779256985	-0.29691080581439	0.104020756667344	-0.323491098495263	-0.667469259643704	-0.556216119937813	-0.940496567562101	-0.862887231509606	-0.568556674890263	-0.754406637390273	-0.436235938258968	-0.358924958403823	-0.661554978647961	-0.475127217673613	-0.679428284168429	-0.710123256255046	-0.591825833931649	-0.483298485571479	-0.556836081080366	-0.541872193834699	-0.514294692131558	-0.424222073623551	-0.855013554810414	-0.593538666044925	-0.845963374995786	-1.08962848602929	-0.850366535423961	-0.852975927333673
Ltyrosine	0.672323271769474	0.751193522950491	0.716781037105656	0.692162557103371	0.909749195997156	0.685700040937522	1.03851397336214	1.18436227304242	1.08621297104082	1.37315175134846	1.60459210974944	1.2180702162909	0.871008866411752	0.961937289614712	0.665222146714175	0.732124645678949	0.973988594859306	0.81873307176882	1.13377463055622	1.1661325967561	0.959911464981388	1.01544876634857	0.89130817410284	0.857308139031759	0.933495204794122	1.07225273994697	0.985471259641655	0.938925344317192	1.01836054949491	1.09661347378464	0.644683514050055	0.90121693196398	0.638870603664461	0.397059866756918	0.612677476260982	0.631018845401581
Ltryptophan	0.760285993954608	0.877186448424696	0.85529518798811	0.798293327659127	1.02240207189091	0.749829078585321	1.16390038754813	1.24160239964521	1.22794760315523	1.58701644679426	1.70493993066909	1.33058007672514	0.997894029452526	1.07836181773329	0.839155010132254	0.882496638999312	1.04125721127363	0.90298872499284	1.23233526462323	1.24809323537992	1.10912593897701	1.10659544772308	1.02156183171407	0.898170633360921	1.05737173284706	1.20138102981999	1.06863720264517	1.0346626188029	1.12663671392028	1.18399916685791	0.749016722576958	1.02195285300291	0.79252148418213	0.51508156941437	0.768383027394372	0.706475039531122
Lglycine	0.507284414396703	0.365818642253067	0.741385528829862	0.386194546101218	0.404049002222655	0.393796328521661	0.821790635099425	0.845076737021303	0.882793392583382	1.79222437894736	1.08365169103542	1.07705729663054	0.718809879199232	0.708886277525616	0.689863537863297	0.612635295866524	0.567443501713282	0.65945779820078	0.961551410525872	0.87536170444848	1.19262757978858	0.544957393274321	0.611716557430325	0.640990776766316	0.84239656365108	0.910864276747765	1.00509503171533	0.50443789769477	0.520458097765665	0.639219082677464	0.188803034889447	0.37794779170238	0.0737385536259302	-0.00887759955799008	0.07820770723325	0.0161781886777488
Lmethionine	3.38025487086489	3.41568181030834	3.31148173006023	3.28446047822161	3.62113923593693	3.29784026712202	3.6786168093085	3.76641101694135	3.79791431799176	3.73356986041081	4.17415240416336	3.84706832628157	3.54115344469565	3.65625810817494	3.29067357578124	3.51703799588756	3.78679908327034	3.45908417701144	3.77170319952086	3.82436127905344	3.60842069498583	3.68889115664426	3.46569310262123	3.47274491087071	3.63395197314726	3.63610388777144	3.60948781403885	3.39455063898142	3.72426053360449	3.64874726552851	3.24632708224723	3.65723042630081	3.26408141690535	2.90523878369238	3.22222534031422	3.30972868133848
Betaalanine	-3.58437420544919	-4.21038768880606	-4.00089507106465	-3.99653594151878	-4.20246257013039	-3.79416125262571	-3.80565653156272	-4.13516080024759	-3.75090412750726	-4.1796975115809	-4.02145222443768	-3.63444619311836	-3.7596172893272	-4.39510852390749	-3.57311468823826	-3.78846278745938	-4.25256089686205	-3.93270290039009	-3.65684467143701	-4.20066059073656	-3.57470118756666	-4.00972838640938	-3.72590223002688	-4.02644038800358	-3.5259289590661	-3.93345172602372	-3.80194136803427	-4.11824295457503	-4.21099648723015	-4.32899098561308	-4.09155488254755	-4.61388501180092	-3.91076985207996	-4.15911344756299	-4.4376762002383	-4.27191512029317
Lpipecolicacid	-5.24801766567536	-5.5049141153875	-5.56904394252839	-5.44804956146349	-5.34813966839574	-5.36486461153057	-5.45559784594943	-5.18400830519698	-5.04948964096505	-5.59505434468877	-4.60606971806134	-5.02696564367715	-5.32209790716003	-5.59378663990151	-5.4263956204222	-5.51466544608167	-5.18715209534133	-5.4700605786595	-4.88874533397595	-5.02598185279548	-5.32327764942694	-4.91113152865855	-5.30257693891099	-5.3458202045093	-5.07940846178042	-5.37899169741674	-5.35572655244267	-5.05927277602899	-5.04840052371038	-5.17216810443915	-5.06331897790106	-5.28546792057514	-5.29120050641691	-5.2204799157585	-5.56659144418524	-5.43503815769526
Lhistidine	-1.42505975495474	-1.34534792826453	-1.20695238960197	-1.43799934364383	-1.21051738457269	-1.42362383042666	-1.06518437423802	-0.979705059966001	-0.974275568744461	0.00542759198917636	-0.477175088841539	-0.884404565501799	-1.24428586126751	-1.11925275912777	-1.35922630900698	-1.33208357839716	-1.15711301502384	-1.17966061438709	-0.972663942318634	-0.987601630743485	-1.11265018992917	-1.11057007615261	-1.20349523848961	-1.28396450935122	-1.18910887577499	-1.03361166739468	-1.11553500264202	-1.20517926364081	-1.12350216761384	-1.04000805698081	-1.46964832232361	-1.19711979370074	-1.42067796997408	-1.66110663566748	-1.39587269685685	-1.51508364452909
L4hydroxyproline	-3.97351017700564	-3.83085926940433	-3.7681364515558	-3.94785418792989	-3.81321491908972	-3.82615498317108	-3.42138593283146	-3.37794724329921	-3.33645460821953	-3.5577339615162	-3.15431369733097	-3.21827484920621	-3.62731585185054	-3.58529651938797	-3.83263441387912	-3.77702749017441	-3.67443702684257	-3.79227722396295	-3.50676366471006	-3.41334484182997	-3.35840576906333	-3.59785435212264	-3.68021930396917	-3.62009641017156	-3.59338785784939	-3.48846392775683	-3.38191140395647	-3.88985960235677	-3.71563120475758	-3.53118495792124	-3.98712517567771	-3.73541116777725	-4.04009051926712	-4.40418560587302	-4.22633527136836	-4.03986136542518
